date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
7/18/2016,SN,DM39,D,FM,11,20,R,1,11,NA,1
7/18/2016,SN,DL41,D,FL,50,0,A,2,15,8,4
7/18/2016,SN,DH26,D,FH,47,20,R,1,19,NA,2
7/18/2016,SN,DH26,D,FH,13,0,R,1,13,NA,3
7/18/2016,SN,DH26,D,FH,17,0,O,1,17,2,5
7/18/2016,SN,DH26,D,FH,13,0,R,1,13,NA,2
7/18/2016,SN,DH26,D,FH,27,35,R,1,22,NA,3
7/18/2016,SN,DH26,D,FH,13,0,R,1,12,NA,3
7/18/2016,SN,DH26,D,FH,20,0,R,1,20,NA,3
7/18/2016,SN,DH26,D,FH,26,0,R,1,26,NA,2
7/18/2016,SN,DH26,D,FH,20,0,R,1,17,NA,2
7/18/2016,SN,DH26,D,FH,12,0,R,1,11,NA,4
7/18/2016,SN,DH57,D,FH,12,0,R,1,12,NA,2
7/18/2016,SN,DH57,D,FH,22,0,R,1,22,NA,2
7/18/2016,SN,DH57,D,FH,19,0,R,1,19,NA,2
7/18/2016,SN,DH57,D,FH,16,0,R,1,16,NA,2
7/18/2016,SN,DH57,D,FH,21,0,R,1,21,NA,2
7/18/2016,SN,DH57,D,FH,12,0,R,1,12,NA,2
7/18/2016,SN,DH57,D,FH,11,0,R,1,11,NA,3
7/18/2016,SN,DH57,D,FH,21,0,R,1,21,NA,2
7/18/2016,SN,DH57,D,FH,16,0,R,1,12,NA,2
7/18/2016,SN,DH57,D,FH,27,0,R,1,20,NA,2
7/18/2016,SN,DH57,D,FH,15,0,S,1,13,3,4
7/18/2016,SN,DH57,D,FH,13,0,R,1,13,NA,2
7/18/2016,SN,DH57,D,FH,10,15,R,1,10,NA,2
7/18/2016,SN,DH57,D,FH,20,0,R,1,20,NA,2
7/18/2016,SN,DH24,D,FH,27,0,R,1,27,NA,2
7/18/2016,SN,DH24,D,FH,17,0,R,1,14,NA,2
7/18/2016,SN,DH24,D,FH,22,0,R,1,12,NA,1
7/18/2016,SN,DH24,D,FH,40,0,A,2,26,15,2
7/18/2016,SN,DH24,D,FH,18,0,R,1,18,NA,2
7/18/2016,SN,DH24,D,FH,22,30,R,1,14,NA,2
7/18/2016,SN,DH24,D,FH,48,0,R,1,56,NA,2
5/9/2016,TD,105,FR,FU,0,0,NA,0,0,0,0
5/9/2016,TD,32,FR,FU,25,0,R,1,20,NA,3
5/9/2016,TD,32,FR,FU,85,NA,A,2,34,8,NA
5/9/2016,TD,32,FR,FU,17,0,R,1,12,NA,4
5/9/2016,SN,32,FR,FU,30,0,R,1,12,NA,2
5/9/2016,TD,35,FR,FU,0,0,NA,0,0,0,0
